15;1;1;73865
54;1;1;10666
60;1;1;809
90;1;1;38931
104;3;3;9865,26296,74094
113;1;1;53473
128;1;1;37833
153;1;1;59411
177;1;1;9219
180;1;1;42531
194;2;2;38131,67241
212;1;1;9196
230;1;1;49091
236;3;3;20869,53893,55400
239;1;1;19033
402;1;1;52146
405;1;1;8648
430;1;1;2408
456;1;1;32139
457;3;3;18162,25487,50816
463;1;1;46656
473;1;1;64785
530;1;1;8960
532;1;1;15711
538;1;1;26719
558;1;1;25076
567;1;1;74398
569;1;1;51462
576;1;1;28674
602;1;1;32639
638;1;1;21239
684;1;1;71043
701;1;2;52146
704;1;1;63166
715;1;1;48258
738;1;1;43813
749;1;1;8251
764;1;1;44606
781;1;1;6815
786;1;1;13492
823;1;1;67099
824;5;5;1713,14823,33342,45831,74331
879;1;2;65037
908;1;1;54063
945;1;1;59231
987;1;1;15423
998;1;1;27120
1039;1;1;29030
1042;3;3;8580,17546,61458
1051;1;1;19806
1054;1;1;68808
1069;1;1;49553
1117;1;1;43409
1127;4;4;20641,54482,71747,72927
1134;1;1;74946
1139;1;1;49850
1146;1;1;68989
1172;1;1;29536
1187;1;2;52146
1209;2;2;54202,61962
1221;2;2;61871,69157
1237;1;1;63730
1305;1;1;43030
1373;1;1;42743
1376;1;1;71413
1423;1;1;18315
1435;1;1;15423
1466;1;1;78643
1467;1;1;62375
1470;1;1;15634
1496;2;2;19059,46229
1511;1;1;31591
1522;1;1;67099
1552;1;1;25487
1555;1;1;17059
1566;2;2;26559,35286
1577;1;1;22263
1578;1;1;20423
1581;2;2;46318,75816
1585;2;2;10694,51754
1665;2;2;2684,30734
1689;1;1;48533
1750;1;1;6389
1758;1;1;55365
1784;1;1;7544
1826;1;1;77679
1837;1;1;62656
1839;1;1;73323
1878;1;1;78643
1887;2;2;36356,59853
1889;1;1;65542
1967;1;1;57389
1980;1;1;74398
1996;3;3;8960,11525,19458
2011;6;6;4753,6540,14576,24764,50523,72731
2095;1;1;17194
2106;1;1;39716
2115;1;1;67938
2144;1;1;43915
2196;1;1;59093
2224;1;1;42353
2247;1;1;56935
2254;1;1;38541
2259;1;1;68629
2263;2;2;48947,72268
2269;1;1;49234
2291;3;3;6984,48338,65787
2292;1;1;50816
2297;2;2;72327,77573
2313;3;4;16089,16238,56974
2324;1;1;45989
2342;1;1;31968
2344;2;2;9432,10271
2353;1;1;37354
2355;2;2;422,45563
2360;1;1;15606
2386;1;1;77471
2387;1;1;74654
2408;1;1;25086
2426;2;2;12337,25309
2431;1;1;8304
2446;1;1;46998
2469;1;1;14524
2472;1;1;27120
2480;1;2;28263
2553;1;1;41679
2570;1;1;7468
2577;1;1;66457
2605;1;1;19177
2610;1;1;58529
2633;1;1;20720
2701;1;1;9795
2715;1;1;62640
2720;1;1;43911
2722;1;1;651
2728;2;2;6417,62844
2762;2;2;46746,67733
2771;1;1;64816
2816;1;1;2124
2834;1;1;51198
2839;1;1;21325
2890;1;1;48428
2941;1;1;20641
2964;1;1;14134
2984;1;1;69185
2986;1;1;9265
3016;1;1;25904
3017;1;1;28705
3018;1;1;12016
3044;1;1;70722
3055;1;1;27152
3058;1;1;19303
3070;1;1;36495
3073;1;1;34372
3091;1;1;32139
3127;1;1;23386
3165;1;1;68935
